source,target
GSK3B,MAP3K4
MAPK8,STK4
BTK,BTK
SRSF7,NXF1
KDM5B,CBX4
BMPR1A,SMAD1
MAP2K1,IRS1
MSX2,SPEN
FOXA1,NFIX
SKI,SMAD3
CDK1,IREB2
EP300,MEF2A
ATM,ATF2
5NTD_RHIMP,RAC2
RET,DOK6
PRKACA,PIN1
CHEK2,VHL
MAPK3,SMAD2
IFNB1,IFNAR1
MYLK,CALD1
LCK,SIGLEC10
GSK3B,BCL2L12
BIRC5,DIABLO
CASP8,RIPK1
LCK,CD5
MAP3K5,MAP2K6
UIMC1,BRCA1
VRK2,NFATC2
CDK3,TFCP2
PTK6,PTK6
PLK1,NINL
RET,FRS2
MAPK1,ELK1
IRAK4,IRAK1
CDK9,TP53
IKBKB,NFKBIB
CAMK1,HDAC5
STK3,MOB1A
ATF6,ATF6
FGFR1,CTTN
MAPK1,MAP2K1
AKT1,SH3RF1
STK11,PAK1
PLK1,BRCA2
HDAC1,FLI1
MAP3K1,MAP2K1
NUMB,ITCH
FKBP8,MTOR
SH3GLB1,BECN1
MAPKAPK5,TP53
DHH,PTCH2
AKT2,GSK3A
GSK3B,NACA
PTPN12,INSR
NEDD4L,SMAD2
NUDT3,AKT2
STK3,STK3
CDK1,BRCA1
JAK2,STAT3
PTPRF,AKT1
MECOM,SMAD3
CDK1,KAT7
PTPRC,JAK3
PRKCA,EGLN2
PRKG1,HRH1
CSF1R,CSF1R
RPS6KA5,STAT3
PIAS4,RPA2
SIRT3,IDH2
CDK1,NPM1
DDX5,AR
AKT1,MAP2K4
PLK1,PIN1
PTPN1,AKT1
PKN1,FOXO1
AKT1,POU5F1
PLK1,CLSPN
NEK2,NEK2
MCL1,BAK1
AKT1,SP7
TGIF1,WWP1
CDK1,RPS3
COPS5,SMAD4
RXRB,RARG
CDK1,NFAT5
EGFR,STAT1
RAG2,MTOR
AKT2,RAF1
PTPN11,GAB1
FLT3LG,FLT3
PRKAA1,SNAI1
NUMA1,TUBA1C
RASSF1,STK4
CDK2,TFCP2
RIPK1,IKBKG
TP53,BAX
RPL10,YES1
EGFR,PIK3R1
USP7,TP53
CDK2,NPM1
MYOD1,RB1
SPEN,RBPJ
CDK2,TP63
SRC,LRP1
MAPK8,ITCH
CHEK1,SYK
IGF1R,PDPK1
NOS1,HDAC2
AKT1,CHEK1
CDK2,ADRBK1
AKT1,CDK2
PLK1,FOXM1
CHEK2,XRCC1
CDK1,BUB1
SRC,PDPK1
ATR,RBBP8
CDK1,EGFR
ATR,CHEK1
ATM,H2AFX
RAC1,BAIAP2
AKT1,SRPK2
PLCG1,SOS1
RPS6KB1,TP63
AKT1,NOS3
PRKACA,ESR1
PLK1,NPM1
NUMA1,TUBA1B
PIK3CB,PIK3CB
UVRAG,BECN1
CD19,LYN
VAV1,GRB2
MTSS1,RAC1
CHEK1,FANCE
CDK7,AR
PDPK1,PDPK1
INSR,IRS1
CCL1,CCR8
NUAK1,TP53
EPGN,EGFR
AKT1,TP53RK
ABL1,MTOR
CDK1,SAMHD1
BCL2L11,BAK1
MAPK1,POLR2A
STK11,PRKAA2
CASC5,BUB1B
GSK3B,NOTCH1
GSK3B,MAFB
CAMK2A,CD44
KAT2B,SMAD3
EGFR,PKIA
CDK2,SIRT2
ALK,PLCG1
PDPK1,AKT2
BBC3,BAK1
CDK1,PTHLH
SKI,SMAD2
EFNA1,EPHA3
INSR,GRB7
MAPK1,LCK
CDK1,KIF11
MEF2C,MYOD1
AURKB,KIF2C
PTPN2,EGFR
MAPK3,KARS
CDK2,CDX2
CSNK1A1,GSK3B
IL3RA,JAK2
GSK3B,NEFH
AURKA,MBD3
PTPRC,JAK1
MAPK3,SMAD3
TBK1,IRF3
CDK4,PELP1
AURKB,CASC5
ATM,TP53BP1
EREG,ERBB4
PIN1,MYC
AURKA,LATS2
WNT5A,ROR1
CDK5,PTK2
CSNK1E,APC
HSPA2,MAP3K5
CSNK1D,TP53
CHEK1,E2F3
IGF1R,IRS4
CDK5,TP53
MAPK1,EP300
CSNK1D,PER2
CDK1,ERCC6L
KIF7,GLI1
AKT1,S1PR1
GSK3B,ROR2
AURKA,PLK1
CSNK1A1L,GLI3
PPP2CB,AKT2
PRKCD,DAB2
CSNK2A1,PML
PLK3,SNCA
ADAM17,MUC1
CSNK2A1,PDCL
RXRA,RARG
NCOA4,AR
FBXW11,SMAD3
AURKB,YY1
ESR1,PIK3R2
FGF4,FGFR4
CDK1,EZH2
KAT2B,SMAD2
RPS6KA1,RPS6
PPP2R5B,CASP3
CDK1,ANAPC1
